cross_point,latlong_obj,sat_obj,eng_obj,tag,text,sat_diff,sat_deg,eng_hms,eng_km,RowNum
,,"{""type"":""LineString"", ""coordinates"":[[96.294461,0.155], [96.226988,-1.992007], [96.024836,-4.13054], [95.688804,-6.25216], [95.220216,-8.348495], [94.620922,-10.411269], [93.893288,-12.432344], [93.040184,-14.403742], [92.064979,-16.317683], [90.97152,-18.166614], [89.764123,-19.943239], [88.447553,-21.640544], [87.027006,-23.251833], [85.508088,-24.770745], [83.896794,-26.191287], [82.199482,-27.507852], [80.422851,-28.715245], [78.573913,-29.8087], [76.659965,-30.783902], [74.68856,-31.637002], [72.667478,-32.364633], [70.604695,-32.963925], [68.508354,-33.432511], [66.386725,-33.768543], [64.248184,-33.970693], [62.10117,-34.038166], [59.954155,-33.970693], [57.815614,-33.768543], [55.693986,-33.432511], [53.597644,-32.963925], [51.534862,-32.364633], [50,-31.812051], [50,30], [78.774624,30], [80.422851,29.025245], [82.199482,27.817852], [83.896794,26.501287], [85.508088,25.080745], [87.027006,23.561833], [88.447553,21.950544], [89.764123,20.253239], [90.97152,18.476614], [92.064979,16.627683], [93.040184,14.713742], [93.893288,12.742344], [94.620922,10.721269], [95.220216,8.658495], [95.688804,6.56216], [96.024836,4.44054], [96.226988,2.302007], [96.294461,0.155]]}",,sat,,3800,52,,,1245
,,"{""type"":""LineString"", ""coordinates"":[[97.194284,0.155], [97.125036,-2.048507], [96.917564,-4.243317], [96.572689,-6.42077], [96.091769,-8.572271], [95.476705,-10.689329], [94.729922,-12.76359], [93.854369,-14.786867], [92.8535,-16.751175], [91.731266,-18.648762], [90.492096,-20.47214], [89.140879,-22.214111], [87.682949,-23.867802], [86.12406,-25.426686], [84.470363,-26.88461], [82.728385,-28.235822], [80.905001,-29.474988], [79.007407,-30.597218], [77.043091,-31.598083], [75.019807,-32.473633], [72.945538,-33.220413], [70.828472,-33.835475], [68.676964,-34.316393], [66.499503,-34.661267], [64.304685,-34.868738], [62.10117,-34.937986], [59.897655,-34.868738], [57.702836,-34.661267], [55.525376,-34.316393], [53.373867,-33.835475], [51.256801,-33.220413], [50,-32.767938], [50,30], [80.541434,30], [80.905001,29.784988], [82.728385,28.545822], [84.470363,27.19461], [86.12406,25.736686], [87.682949,24.177802], [89.140879,22.524111], [90.492096,20.78214], [91.731266,18.958762], [92.8535,17.061175], [93.854369,15.096867], [94.729922,13.07359], [95.476705,10.999329], [96.091769,8.882271], [96.572689,6.73077], [96.917564,4.553317], [97.125036,2.358507], [97.194284,0.155]]}",,sat,,3900,51,,,1246
,,"{""type"":""LineString"", ""coordinates"":[[98.094108,0.155], [98.023084,-2.105007], [97.810293,-4.356095], [97.456574,-6.589379], [96.963323,-8.796047], [96.332488,-10.967389], [95.566557,-13.094836], [94.668554,-15.169992], [93.642022,-17.184667], [92.491012,-19.13091], [91.220068,-21.001041], [89.834205,-22.787678], [88.338892,-24.483771], [86.740031,-26.082627], [85.043932,-27.577934], [83.257288,-28.963792], [81.38715,-30.234731], [79.4409,-31.385737], [77.426217,-32.412265], [75.351054,-33.310265], [73.223599,-34.076193], [71.052249,-34.707026], [68.845574,-35.200275], [66.612281,-35.553992], [64.361185,-35.766783], [62.10117,-35.837806], [59.841154,-35.766783], [57.590058,-35.553992], [55.356766,-35.200275], [53.15009,-34.707026], [50.97874,-34.076193], [50,-33.723826], [50,30], [82.188701,30], [83.257288,29.273792], [85.043932,27.887934], [86.740031,26.392627], [88.338892,24.793771], [89.834205,23.097678], [91.220068,21.311041], [92.491012,19.44091], [93.642022,17.494667], [94.668554,15.479992], [95.566557,13.404836], [96.332488,11.277389], [96.963323,9.106047], [97.456574,6.899379], [97.810293,4.666095], [98.023084,2.415007], [98.094108,0.155]]}",,sat,,4000,50,,,1247
,,"{""type"":""LineString"", ""coordinates"":[[98.993931,0.155], [98.921132,-2.161507], [98.703021,-4.468872], [98.340459,-6.757989], [97.834877,-9.019823], [97.188271,-11.245449], [96.403192,-13.426082], [95.482738,-15.553116], [94.430543,-17.618158], [93.250758,-19.613058], [91.948041,-21.529942], [90.527531,-23.361245], [88.994835,-25.099741], [87.356003,-26.738567], [85.617501,-28.271257], [83.786191,-29.691762], [81.8693,-30.994475], [79.874393,-32.174255], [77.809343,-33.226446], [75.682301,-34.146896], [73.50166,-34.931973], [71.276026,-35.578577], [69.014184,-36.084157], [66.725059,-36.446717], [64.417685,-36.664827], [62.10117,-36.737626], [59.784654,-36.664827], [57.477281,-36.446717], [55.188156,-36.084157], [52.926313,-35.578577], [50.700679,-34.931973], [50,-34.679714], [50,30], [83.788463,30], [85.617501,28.581257], [87.356003,27.048567], [88.994835,25.409741], [90.527531,23.671245], [91.948041,21.839942], [93.250758,19.923058], [94.430543,17.928158], [95.482738,15.863116], [96.403192,13.736082], [97.188271,11.555449], [97.834877,9.329823], [98.340459,7.067989], [98.703021,4.778872], [98.921132,2.471507], [98.993931,0.155]]}",,sat,,4100,49,,,1248
,,"{""type"":""LineString"", ""coordinates"":[[99.893755,0.155], [99.819179,-2.218007], [99.595749,-4.58165], [99.224344,-6.926598], [98.706431,-9.243599], [98.044054,-11.523508], [97.239826,-13.757327], [96.296923,-15.936241], [95.219064,-18.05165], [94.010504,-20.095205], [92.676013,-22.058843], [91.220857,-23.934812], [89.650778,-25.71571], [87.971974,-27.394508], [86.19107,-28.964581], [84.315094,-30.419731], [82.351449,-31.754218], [80.307886,-32.962773], [78.19247,-34.040628], [76.013548,-34.983528], [73.779721,-35.787753], [71.499803,-36.450127], [69.182794,-36.968038], [66.837837,-37.339442], [64.474186,-37.562872], [62.10117,-37.637447], [59.728154,-37.562872], [57.364503,-37.339442], [55.019545,-36.968038], [52.702536,-36.450127], [50.422619,-35.787753], [50,-35.635601], [50,30], [85.255862,30], [86.19107,29.274581], [87.971974,27.704508], [89.650778,26.02571], [91.220857,24.244812], [92.676013,22.368843], [94.010504,20.405205], [95.219064,18.36165], [96.296923,16.246241], [97.239826,14.067327], [98.044054,11.833508], [98.706431,9.553599], [99.224344,7.236598], [99.595749,4.89165], [99.819179,2.528007], [99.893755,0.155]]}",,sat,,4200,48,,,1249
,,"{""type"":""LineString"", ""coordinates"":[[100.793578,0.155], [100.717227,-2.274508], [100.488477,-4.694427], [100.108229,-7.095208], [99.577985,-9.467375], [98.899837,-11.801568], [98.076461,-14.088573], [97.111107,-16.319366], [96.007586,-18.485142], [94.77025,-20.577353], [93.403986,-22.587744], [91.914183,-24.508379], [90.306721,-26.331679], [88.587946,-28.050449], [86.764639,-29.657904], [84.843997,-31.147701], [82.833599,-32.513961], [80.74138,-33.751292], [78.575596,-34.85481], [76.344795,-35.82016], [74.057781,-36.643532], [71.72358,-37.321678], [69.351404,-37.85192], [66.950614,-38.232167], [64.530686,-38.460916], [62.10117,-38.537267], [59.671653,-38.460916], [57.251725,-38.232167], [54.850935,-37.85192], [52.478759,-37.321678], [50.144558,-36.643532], [50,-36.591488], [50,30], [86.723261,30], [86.764639,29.967904], [88.587946,28.360449], [90.306721,26.641679], [91.914183,24.818379], [93.403986,22.897744], [94.77025,20.887353], [96.007586,18.795142], [97.111107,16.629366], [98.076461,14.398573], [98.899837,12.111568], [99.577985,9.777375], [100.108229,7.405208], [100.488477,5.004427], [100.717227,2.584508], [100.793578,0.155]]}",,sat,,4300,47,,,1250
,,"{""type"":""LineString"", ""coordinates"":[[101.693401,0.155], [101.615275,-2.331008], [101.381205,-4.807204], [100.992114,-7.263817], [100.449539,-9.691152], [99.75562,-12.079628], [98.913096,-14.419819], [97.925292,-16.702491], [96.796107,-18.918633], [95.529997,-21.059501], [94.131958,-23.116645], [92.607509,-25.081946], [90.962665,-26.947648], [89.203917,-28.706389], [87.338208,-30.351227], [85.3729,-31.875671], [83.315748,-33.273705], [81.174873,-34.53981], [78.958722,-35.668991], [76.676042,-36.656791], [74.335842,-37.499312], [71.947357,-38.193229], [69.520014,-38.735802], [67.851926,-39], [56.350413,-39], [54.682325,-38.735802], [52.254982,-38.193229], [50,-37.538098], [50,30], [88.088225,30], [89.203917,29.016389], [90.962665,27.257648], [92.607509,25.391946], [94.131958,23.426645], [95.529997,21.369501], [96.796107,19.228633], [97.925292,17.012491], [98.913096,14.729819], [99.75562,12.389628], [100.449539,10.001152], [100.992114,7.573817], [101.381205,5.117204], [101.615275,2.641008], [101.693401,0.155]]}",,sat,,4400,46,,,1251
,,"{""type"":""LineString"", ""coordinates"":[[102.593225,0.155], [102.513323,-2.387508], [102.273933,-4.919982], [101.875999,-7.432427], [101.321092,-9.914928], [100.611403,-12.357687], [99.74973,-14.751065], [98.739477,-17.085615], [97.584628,-19.352125], [96.289743,-21.541649], [94.85993,-23.645546], [93.300834,-25.655513], [91.618608,-27.563618], [89.819889,-29.36233], [87.911777,-31.044551], [85.901803,-32.603641], [83.797898,-34.033448], [81.608366,-35.328329], [79.341848,-36.483173], [77.007289,-37.493423], [74.613903,-38.355092], [72.394106,-39], [51.808233,-39], [50,-38.474662], [50,30], [89.448219,30], [89.819889,29.67233], [91.618608,27.873618], [93.300834,25.965513], [94.85993,23.955546], [96.289743,21.851649], [97.584628,19.662125], [98.739477,17.395615], [99.74973,15.061065], [100.611403,12.667687], [101.321092,10.224928], [101.875999,7.742427], [102.273933,5.229982], [102.513323,2.697508], [102.593225,0.155]]}",,sat,,4500,45,,,1252
,,"{""type"":""LineString"", ""coordinates"":[[103.493048,0.155], [103.411371,-2.444008], [103.166661,-5.032759], [102.759884,-7.601036], [102.192646,-10.138704], [101.467186,-12.635747], [100.586365,-15.082311], [99.553661,-17.46874], [98.373149,-19.785617], [97.049489,-22.023796], [95.587903,-24.174447], [93.99416,-26.22908], [92.274551,-28.179587], [90.43586,-30.018271], [88.485346,-31.737874], [86.430706,-33.331611], [84.280047,-34.793191], [82.041859,-36.116847], [79.724974,-37.297354], [77.338536,-38.330055], [75.477686,-39], [50,-39], [50,30], [90.764132,30], [92.274551,28.489587], [93.99416,26.53908], [95.587903,24.484447], [97.049489,22.333796], [98.373149,20.095617], [99.553661,17.77874], [100.586365,15.392311], [101.467186,12.945747], [102.192646,10.448704], [102.759884,7.911036], [103.166661,5.342759], [103.411371,2.754008], [103.493048,0.155]]}",,sat,,4600,44,,,1253
,,"{""type"":""LineString"", ""coordinates"":[[104.392872,0.155], [104.309419,-2.500508], [104.059389,-5.145536], [103.643769,-7.769646], [103.0642,-10.36248], [102.322969,-12.913807], [101.423,-15.413557], [100.367846,-17.851865], [99.161671,-20.219108], [97.809235,-22.505944], [96.315875,-24.703348], [94.687486,-26.802647], [92.930494,-28.795556], [91.051832,-30.674211], [89.058915,-32.431197], [86.959608,-34.05958], [84.762197,-35.552934], [82.475353,-36.905365], [80.108101,-38.111536], [78.054974,-39], [50,-39], [50,30], [92.036047,30], [92.930494,29.105556], [94.687486,27.112647], [96.315875,25.013348], [97.809235,22.815944], [99.161671,20.529108], [100.367846,18.161865], [101.423,15.723557], [102.322969,13.223807], [103.0642,10.67248], [103.643769,8.079646], [104.059389,5.455536], [104.309419,2.810508], [104.392872,0.155]]}",,sat,,4700,43,,,1254
